T,G,F,CASE,value
T0363,HR_DC,electricity,reference,0.0
T0364,electric_chiller,electricity,integrated,0.0
T0364,electric_chiller,electricity,reference,0.0
T0364,free_cooling,electricity,integrated,0.015658265922815495
T0364,free_cooling,electricity,reference,4.0
T0364,HR_DC,electricity,integrated,3.9843417340771845
T0364,HR_DC,electricity,reference,0.0
T0365,electric_chiller,electricity,integrated,0.0
T0365,electric_chiller,electricity,reference,0.0
T0365,free_cooling,electricity,integrated,0.015658265922815495
T0365,free_cooling,electricity,reference,4.0
T0365,HR_DC,electricity,integrated,3.9843417340771845
T0365,HR_DC,electricity,reference,0.0
T0366,electric_chiller,electricity,integrated,0.0
T0366,electric_chiller,electricity,reference,0.0
T0366,free_cooling,electricity,integrated,0.015658265922815495
T0366,free_cooling,electricity,reference,4.0
T0366,HR_DC,electricity,integrated,3.9843417340771845
T0366,HR_DC,electricity,reference,0.0
T0367,electric_chiller,electricity,integrated,0.0
T0367,electric_chiller,electricity,reference,0.0
T0367,free_cooling,electricity,integrated,0.015658265922815495
T0367,free_cooling,electricity,reference,4.0
T0367,HR_DC,electricity,integrated,3.9843417340771845
T0367,HR_DC,electricity,reference,0.0
T0368,electric_chiller,electricity,integrated,0.0
T0368,electric_chiller,electricity,reference,0.0
T0368,free_cooling,electricity,integrated,0.015658265922815495
T0368,free_cooling,electricity,reference,4.0
T0368,HR_DC,electricity,integrated,3.9843417340771845
T0368,HR_DC,electricity,reference,0.0
T0369,electric_chiller,electricity,integrated,0.0
T0369,electric_chiller,electricity,reference,0.0
T0369,free_cooling,electricity,integrated,0.015658265922815495
T0369,free_cooling,electricity,reference,4.0
T0369,HR_DC,electricity,integrated,3.9843417340771845
T0369,HR_DC,electricity,reference,0.0
T0370,electric_chiller,electricity,integrated,0.0
T0370,electric_chiller,electricity,reference,0.0
T0370,free_cooling,electricity,integrated,0.015658265922815495
T0370,free_cooling,electricity,reference,4.0
T0370,HR_DC,electricity,integrated,3.9843417340771845
T0370,HR_DC,electricity,reference,0.0
T0371,electric_chiller,electricity,integrated,0.0
T0371,electric_chiller,electricity,reference,0.0
T0371,free_cooling,electricity,integrated,0.015658265922815495
T0371,free_cooling,electricity,reference,4.0
T0371,HR_DC,electricity,integrated,3.9843417340771845
T0371,HR_DC,electricity,reference,0.0
T0372,electric_chiller,electricity,integrated,0.0
T0372,electric_chiller,electricity,reference,0.0
T0372,free_cooling,electricity,integrated,0.015658265922815495
T0372,free_cooling,electricity,reference,4.0
T0372,HR_DC,electricity,integrated,3.9843417340771845
T0372,HR_DC,electricity,reference,0.0
T0373,electric_chiller,electricity,integrated,0.0
T0373,electric_chiller,electricity,reference,0.0
T0373,free_cooling,electricity,integrated,0.015658265922815495
T0373,free_cooling,electricity,reference,4.0
T0373,HR_DC,electricity,integrated,3.9843417340771845
T0373,HR_DC,electricity,reference,0.0
T0374,electric_chiller,electricity,integrated,0.0
T0374,electric_chiller,electricity,reference,0.0
T0374,free_cooling,electricity,integrated,0.015658265922815495
T0374,free_cooling,electricity,reference,4.0
T0374,HR_DC,electricity,integrated,3.9843417340771845
T0374,HR_DC,electricity,reference,0.0
T0375,electric_chiller,electricity,integrated,0.0
T0375,electric_chiller,electricity,reference,0.0
T0375,free_cooling,electricity,integrated,0.015658265922815495
T0375,free_cooling,electricity,reference,4.0
T0375,HR_DC,electricity,integrated,3.9843417340771845
T0375,HR_DC,electricity,reference,0.0
T0376,electric_chiller,electricity,integrated,0.0
T0376,electric_chiller,electricity,reference,0.0
T0376,free_cooling,electricity,integrated,0.015658265922815495
T0376,free_cooling,electricity,reference,4.0
T0376,HR_DC,electricity,integrated,3.9843417340771845
T0376,HR_DC,electricity,reference,0.0
T0377,electric_chiller,electricity,integrated,0.0
T0377,electric_chiller,electricity,reference,0.0
T0377,free_cooling,electricity,integrated,0.015658265922815495
T0377,free_cooling,electricity,reference,4.0
T0377,HR_DC,electricity,integrated,3.9843417340771845
T0377,HR_DC,electricity,reference,0.0
T0378,electric_chiller,electricity,integrated,0.0
T0378,electric_chiller,electricity,reference,0.0
T0378,free_cooling,electricity,integrated,0.015658265922815495
T0378,free_cooling,electricity,reference,4.0
T0378,HR_DC,electricity,integrated,3.9843417340771845
T0378,HR_DC,electricity,reference,0.0
T0379,electric_chiller,electricity,integrated,0.0
T0379,electric_chiller,electricity,reference,0.0
T0379,free_cooling,electricity,integrated,0.015658265922815495
T0379,free_cooling,electricity,reference,4.0
T0379,HR_DC,electricity,integrated,3.9843417340771845
T0379,HR_DC,electricity,reference,0.0
T0380,electric_chiller,electricity,integrated,0.0
T0380,electric_chiller,electricity,reference,0.0
T0380,free_cooling,electricity,integrated,0.015658265922815495
T0380,free_cooling,electricity,reference,4.0
T0380,HR_DC,electricity,integrated,3.9843417340771845
T0380,HR_DC,electricity,reference,0.0
T0381,electric_chiller,electricity,integrated,0.0
T0381,electric_chiller,electricity,reference,0.0
T0381,free_cooling,electricity,integrated,0.015658265922815495
T0381,free_cooling,electricity,reference,4.0
T0381,HR_DC,electricity,integrated,3.9843417340771845
T0381,HR_DC,electricity,reference,0.0
T0382,electric_chiller,electricity,integrated,0.0
T0382,electric_chiller,electricity,reference,0.0
T0382,free_cooling,electricity,integrated,0.015658265922815495
T0382,free_cooling,electricity,reference,4.0
T0382,HR_DC,electricity,integrated,3.9843417340771845
T0382,HR_DC,electricity,reference,0.0
T0383,electric_chiller,electricity,integrated,0.0
T0383,electric_chiller,electricity,reference,0.0
T0383,free_cooling,electricity,integrated,0.015658265922815495
T0383,free_cooling,electricity,reference,4.0
T0383,HR_DC,electricity,integrated,3.9843417340771845
T0383,HR_DC,electricity,reference,0.0
T0384,electric_chiller,electricity,integrated,0.0
T0384,electric_chiller,electricity,reference,0.0
T0384,free_cooling,electricity,integrated,0.015658265922815495
T0384,free_cooling,electricity,reference,4.0
T0384,HR_DC,electricity,integrated,3.9843417340771845
T0384,HR_DC,electricity,reference,0.0
T0385,electric_chiller,electricity,integrated,0.0
T0385,electric_chiller,electricity,reference,0.0
T0385,free_cooling,electricity,integrated,0.015658265922815495
T0385,free_cooling,electricity,reference,4.0
T0385,HR_DC,electricity,integrated,3.9843417340771845
T0385,HR_DC,electricity,reference,0.0
T0386,electric_chiller,electricity,integrated,0.0
T0386,electric_chiller,electricity,reference,0.0
T0386,free_cooling,electricity,integrated,0.015658265922815495
T0386,free_cooling,electricity,reference,4.0
T0386,HR_DC,electricity,integrated,3.9843417340771845
T0386,HR_DC,electricity,reference,0.0
T0387,electric_chiller,electricity,integrated,0.0
T0387,electric_chiller,electricity,reference,0.0
T0387,free_cooling,electricity,integrated,0.015658265922815495
T0387,free_cooling,electricity,reference,4.0
T0387,HR_DC,electricity,integrated,3.9843417340771845
T0387,HR_DC,electricity,reference,0.0
T0388,electric_chiller,electricity,integrated,0.0
T0388,electric_chiller,electricity,reference,0.0
T0388,free_cooling,electricity,integrated,0.015658265922815495
T0388,free_cooling,electricity,reference,4.0
T0388,HR_DC,electricity,integrated,3.9843417340771845
T0388,HR_DC,electricity,reference,0.0
T0389,electric_chiller,electricity,integrated,0.0
T0389,electric_chiller,electricity,reference,0.0
T0389,free_cooling,electricity,integrated,0.015658265922815495
T0389,free_cooling,electricity,reference,4.0
T0389,HR_DC,electricity,integrated,3.9843417340771845
T0389,HR_DC,electricity,reference,0.0
T0390,electric_chiller,electricity,integrated,0.0
T0390,electric_chiller,electricity,reference,0.0
T0390,free_cooling,electricity,integrated,0.015658265922815495
T0390,free_cooling,electricity,reference,4.0
T0390,HR_DC,electricity,integrated,3.9843417340771845
T0390,HR_DC,electricity,reference,0.0
T0391,electric_chiller,electricity,integrated,0.0
T0391,electric_chiller,electricity,reference,0.0
T0391,free_cooling,electricity,integrated,0.015658265922815495
T0391,free_cooling,electricity,reference,4.0
T0391,HR_DC,electricity,integrated,3.9843417340771845
T0391,HR_DC,electricity,reference,0.0
T0392,electric_chiller,electricity,integrated,0.0
T0392,electric_chiller,electricity,reference,0.0
T0392,free_cooling,electricity,integrated,0.015658265922815495
T0392,free_cooling,electricity,reference,4.0
T0392,HR_DC,electricity,integrated,3.9843417340771845
T0392,HR_DC,electricity,reference,0.0
T0393,electric_chiller,electricity,integrated,0.0
T0393,electric_chiller,electricity,reference,0.0
T0393,free_cooling,electricity,integrated,0.015658265922815495
T0393,free_cooling,electricity,reference,4.0
T0393,HR_DC,electricity,integrated,3.9843417340771845
T0393,HR_DC,electricity,reference,0.0
T0394,electric_chiller,electricity,integrated,0.0
T0394,electric_chiller,electricity,reference,0.0
T0394,free_cooling,electricity,integrated,0.015658265922815495
T0394,free_cooling,electricity,reference,4.0
T0394,HR_DC,electricity,integrated,3.9843417340771845
T0394,HR_DC,electricity,reference,0.0
T0395,electric_chiller,electricity,integrated,0.0
T0395,electric_chiller,electricity,reference,0.0
T0395,free_cooling,electricity,integrated,0.015658265922815495
T0395,free_cooling,electricity,reference,4.0
T0395,HR_DC,electricity,integrated,3.9843417340771845
T0395,HR_DC,electricity,reference,0.0
T0396,electric_chiller,electricity,integrated,0.0
T0396,electric_chiller,electricity,reference,0.0
T0396,free_cooling,electricity,integrated,0.015658265922815495
T0396,free_cooling,electricity,reference,4.0
T0396,HR_DC,electricity,integrated,3.9843417340771845
T0396,HR_DC,electricity,reference,0.0
T0397,electric_chiller,electricity,integrated,0.0
T0397,electric_chiller,electricity,reference,0.0
T0397,free_cooling,electricity,integrated,0.015658265922815495
T0397,free_cooling,electricity,reference,4.0
T0397,HR_DC,electricity,integrated,3.9843417340771845
T0397,HR_DC,electricity,reference,0.0
T0398,electric_chiller,electricity,integrated,0.0
T0398,electric_chiller,electricity,reference,0.0
T0398,free_cooling,electricity,integrated,0.015658265922815495
T0398,free_cooling,electricity,reference,4.0
T0398,HR_DC,electricity,integrated,3.9843417340771845
T0398,HR_DC,electricity,reference,0.0
T0399,electric_chiller,electricity,integrated,0.0
T0399,electric_chiller,electricity,reference,0.0
T0399,free_cooling,electricity,integrated,0.015658265922815495
T0399,free_cooling,electricity,reference,4.0
T0399,HR_DC,electricity,integrated,3.9843417340771845
T0399,HR_DC,electricity,reference,0.0
T0400,electric_chiller,electricity,integrated,0.0
T0400,electric_chiller,electricity,reference,0.0
T0400,free_cooling,electricity,integrated,0.015658265922815495
T0400,free_cooling,electricity,reference,4.0
T0400,HR_DC,electricity,integrated,3.9843417340771845
T0400,HR_DC,electricity,reference,0.0
T0401,electric_chiller,electricity,integrated,0.0
T0401,electric_chiller,electricity,reference,0.0
T0401,free_cooling,electricity,integrated,0.015658265922815495
T0401,free_cooling,electricity,reference,4.0
T0401,HR_DC,electricity,integrated,3.9843417340771845
T0401,HR_DC,electricity,reference,0.0
T0402,electric_chiller,electricity,integrated,0.0
T0402,electric_chiller,electricity,reference,0.0
T0402,free_cooling,electricity,integrated,0.015658265922815495
T0402,free_cooling,electricity,reference,4.0
T0402,HR_DC,electricity,integrated,3.9843417340771845
T0402,HR_DC,electricity,reference,0.0
T0403,electric_chiller,electricity,integrated,0.0
T0403,electric_chiller,electricity,reference,0.0
T0403,free_cooling,electricity,integrated,0.015658265922815495
T0403,free_cooling,electricity,reference,4.0
T0403,HR_DC,electricity,integrated,3.9843417340771845
T0403,HR_DC,electricity,reference,0.0
T0404,electric_chiller,electricity,integrated,0.0
T0404,electric_chiller,electricity,reference,0.0
T0404,free_cooling,electricity,integrated,0.015658265922815495
T0404,free_cooling,electricity,reference,4.0
T0404,HR_DC,electricity,integrated,3.9843417340771845
T0404,HR_DC,electricity,reference,0.0
T0405,electric_chiller,electricity,integrated,0.0
T0405,electric_chiller,electricity,reference,0.0
T0405,free_cooling,electricity,integrated,0.015658265922815495
T0405,free_cooling,electricity,reference,4.0
T0405,HR_DC,electricity,integrated,3.9843417340771845
T0405,HR_DC,electricity,reference,0.0
T0406,electric_chiller,electricity,integrated,0.0
T0406,electric_chiller,electricity,reference,0.0
T0406,free_cooling,electricity,integrated,0.015658265922815495
T0406,free_cooling,electricity,reference,4.0
T0406,HR_DC,electricity,integrated,3.9843417340771845
T0406,HR_DC,electricity,reference,0.0
T0407,electric_chiller,electricity,integrated,0.0
T0407,electric_chiller,electricity,reference,0.0
T0407,free_cooling,electricity,integrated,0.015658265922815495
T0407,free_cooling,electricity,reference,4.0
T0407,HR_DC,electricity,integrated,3.9843417340771845
T0407,HR_DC,electricity,reference,0.0
T0408,electric_chiller,electricity,integrated,0.0
T0408,electric_chiller,electricity,reference,0.0
T0408,free_cooling,electricity,integrated,0.015658265922815495
T0408,free_cooling,electricity,reference,4.0
T0408,HR_DC,electricity,integrated,3.9843417340771845
T0408,HR_DC,electricity,reference,0.0
T0409,electric_chiller,electricity,integrated,0.0
T0409,electric_chiller,electricity,reference,0.0
T0409,free_cooling,electricity,integrated,0.015658265922815495
T0409,free_cooling,electricity,reference,4.0
T0409,HR_DC,electricity,integrated,3.9843417340771845
T0409,HR_DC,electricity,reference,0.0
T0410,electric_chiller,electricity,integrated,0.0
T0410,electric_chiller,electricity,reference,0.0
T0410,free_cooling,electricity,integrated,0.015658265922815495
T0410,free_cooling,electricity,reference,4.0
T0410,HR_DC,electricity,integrated,3.9843417340771845
T0410,HR_DC,electricity,reference,0.0
T0411,electric_chiller,electricity,integrated,0.0
T0411,electric_chiller,electricity,reference,0.0
T0411,free_cooling,electricity,integrated,0.015658265922815495
T0411,free_cooling,electricity,reference,4.0
T0411,HR_DC,electricity,integrated,3.9843417340771845
T0411,HR_DC,electricity,reference,0.0
T0412,electric_chiller,electricity,integrated,0.0
T0412,electric_chiller,electricity,reference,0.0
T0412,free_cooling,electricity,integrated,0.015658265922815495
T0412,free_cooling,electricity,reference,4.0
T0412,HR_DC,electricity,integrated,3.9843417340771845
T0412,HR_DC,electricity,reference,0.0
T0413,electric_chiller,electricity,integrated,0.0
T0413,electric_chiller,electricity,reference,0.0
T0413,free_cooling,electricity,integrated,0.015658265922815495
T0413,free_cooling,electricity,reference,4.0
T0413,HR_DC,electricity,integrated,3.9843417340771845
T0413,HR_DC,electricity,reference,0.0
T0414,electric_chiller,electricity,integrated,0.0
T0414,electric_chiller,electricity,reference,0.0
T0414,free_cooling,electricity,integrated,0.015658265922815495
T0414,free_cooling,electricity,reference,4.0
T0414,HR_DC,electricity,integrated,3.9843417340771845
T0414,HR_DC,electricity,reference,0.0
T0415,electric_chiller,electricity,integrated,0.0
T0415,electric_chiller,electricity,reference,0.0
T0415,free_cooling,electricity,integrated,0.015658265922815495
T0415,free_cooling,electricity,reference,4.0
T0415,HR_DC,electricity,integrated,3.9843417340771845
T0415,HR_DC,electricity,reference,0.0
T0416,electric_chiller,electricity,integrated,0.0
T0416,electric_chiller,electricity,reference,0.0
T0416,free_cooling,electricity,integrated,4.0
T0416,free_cooling,electricity,reference,4.0
T0416,HR_DC,electricity,integrated,0.0
T0416,HR_DC,electricity,reference,0.0
T0417,electric_chiller,electricity,integrated,0.0
T0417,electric_chiller,electricity,reference,0.0
T0417,free_cooling,electricity,integrated,4.0
T0417,free_cooling,electricity,reference,4.0
T0417,HR_DC,electricity,integrated,0.0
T0417,HR_DC,electricity,reference,0.0
T0418,electric_chiller,electricity,integrated,0.0
T0418,electric_chiller,electricity,reference,0.0
T0418,free_cooling,electricity,integrated,0.015658265922815495
T0418,free_cooling,electricity,reference,4.0
T0418,HR_DC,electricity,integrated,3.9843417340771845
T0418,HR_DC,electricity,reference,0.0
T0419,electric_chiller,electricity,integrated,0.0
T0419,electric_chiller,electricity,reference,0.0
T0419,free_cooling,electricity,integrated,0.015658265922815495
T0419,free_cooling,electricity,reference,4.0
T0419,HR_DC,electricity,integrated,3.9843417340771845
T0419,HR_DC,electricity,reference,0.0
T0420,electric_chiller,electricity,integrated,0.0
T0420,electric_chiller,electricity,reference,0.0
T0420,free_cooling,electricity,integrated,0.015658265922815495
T0420,free_cooling,electricity,reference,4.0
T0420,HR_DC,electricity,integrated,3.9843417340771845
T0420,HR_DC,electricity,reference,0.0
T0421,electric_chiller,electricity,integrated,0.0
T0421,electric_chiller,electricity,reference,0.0
T0421,free_cooling,electricity,integrated,0.015658265922815495
T0421,free_cooling,electricity,reference,4.0
T0421,HR_DC,electricity,integrated,3.9843417340771845
T0421,HR_DC,electricity,reference,0.0
T0422,electric_chiller,electricity,integrated,0.0
T0422,electric_chiller,electricity,reference,0.0
T0422,free_cooling,electricity,integrated,0.015658265922815495
T0422,free_cooling,electricity,reference,4.0
T0422,HR_DC,electricity,integrated,3.9843417340771845
T0422,HR_DC,electricity,reference,0.0
T0423,electric_chiller,electricity,integrated,0.0
T0423,electric_chiller,electricity,reference,0.0
T0423,free_cooling,electricity,integrated,0.015658265922815495
T0423,free_cooling,electricity,reference,4.0
T0423,HR_DC,electricity,integrated,3.9843417340771845
T0423,HR_DC,electricity,reference,0.0
T0424,electric_chiller,electricity,integrated,0.0
T0424,electric_chiller,electricity,reference,0.0
T0424,free_cooling,electricity,integrated,0.015658265922815495
T0424,free_cooling,electricity,reference,4.0
T0424,HR_DC,electricity,integrated,3.9843417340771845
T0424,HR_DC,electricity,reference,0.0
T0425,electric_chiller,electricity,integrated,0.0
T0425,electric_chiller,electricity,reference,0.0
T0425,free_cooling,electricity,integrated,0.015658265922815495
T0425,free_cooling,electricity,reference,4.0
T0425,HR_DC,electricity,integrated,3.9843417340771845
T0425,HR_DC,electricity,reference,0.0
T0426,electric_chiller,electricity,integrated,0.0
T0426,electric_chiller,electricity,reference,0.0
T0426,free_cooling,electricity,integrated,0.015658265922815495
T0426,free_cooling,electricity,reference,4.0
T0426,HR_DC,electricity,integrated,3.9843417340771845
T0426,HR_DC,electricity,reference,0.0
T0427,electric_chiller,electricity,integrated,0.0
T0427,electric_chiller,electricity,reference,0.0
T0427,free_cooling,electricity,integrated,0.015658265922815495
T0427,free_cooling,electricity,reference,4.0
T0427,HR_DC,electricity,integrated,3.9843417340771845
T0427,HR_DC,electricity,reference,0.0
T0428,electric_chiller,electricity,integrated,0.0
T0428,electric_chiller,electricity,reference,0.0
T0428,free_cooling,electricity,integrated,0.015658265922815495
T0428,free_cooling,electricity,reference,4.0
T0428,HR_DC,electricity,integrated,3.9843417340771845
T0428,HR_DC,electricity,reference,0.0
T0429,electric_chiller,electricity,integrated,0.0
T0429,electric_chiller,electricity,reference,0.0
T0429,free_cooling,electricity,integrated,0.015658265922815495
T0429,free_cooling,electricity,reference,4.0
T0429,HR_DC,electricity,integrated,3.9843417340771845
T0429,HR_DC,electricity,reference,0.0
T0430,electric_chiller,electricity,integrated,0.0
T0430,electric_chiller,electricity,reference,0.0
T0430,free_cooling,electricity,integrated,0.015658265922815495
T0430,free_cooling,electricity,reference,4.0
T0430,HR_DC,electricity,integrated,3.9843417340771845
T0430,HR_DC,electricity,reference,0.0
T0431,electric_chiller,electricity,integrated,0.0
T0431,electric_chiller,electricity,reference,0.0
T0431,free_cooling,electricity,integrated,0.015658265922815495
T0431,free_cooling,electricity,reference,4.0
T0431,HR_DC,electricity,integrated,3.9843417340771845
T0431,HR_DC,electricity,reference,0.0
T0432,electric_chiller,electricity,integrated,0.0
T0432,electric_chiller,electricity,reference,0.0
T0432,free_cooling,electricity,integrated,0.015658265922815495
T0432,free_cooling,electricity,reference,4.0
T0432,HR_DC,electricity,integrated,3.9843417340771845
T0432,HR_DC,electricity,reference,0.0
T0433,electric_chiller,electricity,integrated,0.0
T0433,electric_chiller,electricity,reference,0.0
T0433,free_cooling,electricity,integrated,0.015658265922815495
T0433,free_cooling,electricity,reference,4.0
T0433,HR_DC,electricity,integrated,3.9843417340771845
T0433,HR_DC,electricity,reference,0.0
T0434,electric_chiller,electricity,integrated,0.0
T0434,electric_chiller,electricity,reference,0.0
T0434,free_cooling,electricity,integrated,0.015658265922815495
T0434,free_cooling,electricity,reference,4.0
T0434,HR_DC,electricity,integrated,3.9843417340771845
T0434,HR_DC,electricity,reference,0.0
T0435,electric_chiller,electricity,integrated,0.0
T0435,electric_chiller,electricity,reference,0.0
T0435,free_cooling,electricity,integrated,0.015658265922815495
T0435,free_cooling,electricity,reference,4.0
T0435,HR_DC,electricity,integrated,3.9843417340771845
T0435,HR_DC,electricity,reference,0.0
T0436,electric_chiller,electricity,integrated,0.0
T0436,electric_chiller,electricity,reference,0.0
T0436,free_cooling,electricity,integrated,0.015658265922815495
T0436,free_cooling,electricity,reference,4.0
T0436,HR_DC,electricity,integrated,3.9843417340771845
T0436,HR_DC,electricity,reference,0.0
T0437,electric_chiller,electricity,integrated,0.0
T0437,electric_chiller,electricity,reference,0.0
T0437,free_cooling,electricity,integrated,0.015658265922815495
T0437,free_cooling,electricity,reference,4.0
T0437,HR_DC,electricity,integrated,3.9843417340771845
T0437,HR_DC,electricity,reference,0.0
T0438,electric_chiller,electricity,integrated,0.0
T0438,electric_chiller,electricity,reference,0.0
T0438,free_cooling,electricity,integrated,0.015658265922815495
T0438,free_cooling,electricity,reference,4.0
T0438,HR_DC,electricity,integrated,3.9843417340771845
T0438,HR_DC,electricity,reference,0.0
T0439,electric_chiller,electricity,integrated,0.0
T0439,electric_chiller,electricity,reference,0.0
T0439,free_cooling,electricity,integrated,0.015658265922815495
T0439,free_cooling,electricity,reference,4.0
T0439,HR_DC,electricity,integrated,3.9843417340771845
T0439,HR_DC,electricity,reference,0.0
T0440,electric_chiller,electricity,integrated,0.0
T0440,electric_chiller,electricity,reference,0.0
T0440,free_cooling,electricity,integrated,0.015658265922815495
T0440,free_cooling,electricity,reference,4.0
T0440,HR_DC,electricity,integrated,3.9843417340771845
T0440,HR_DC,electricity,reference,0.0
T0441,electric_chiller,electricity,integrated,0.0
T0441,electric_chiller,electricity,reference,0.0
T0441,free_cooling,electricity,integrated,0.015658265922815495
T0441,free_cooling,electricity,reference,4.0
T0441,HR_DC,electricity,integrated,3.9843417340771845
T0441,HR_DC,electricity,reference,0.0
T0442,electric_chiller,electricity,integrated,0.0
T0442,electric_chiller,electricity,reference,0.0
T0442,free_cooling,electricity,integrated,0.015658265922815495
T0442,free_cooling,electricity,reference,4.0
T0442,HR_DC,electricity,integrated,3.9843417340771845
T0442,HR_DC,electricity,reference,0.0
T0443,electric_chiller,electricity,integrated,0.0
T0443,electric_chiller,electricity,reference,0.0
T0443,free_cooling,electricity,integrated,0.015658265922815495
T0443,free_cooling,electricity,reference,4.0
T0443,HR_DC,electricity,integrated,3.9843417340771845
T0443,HR_DC,electricity,reference,0.0
T0444,electric_chiller,electricity,integrated,0.0
T0444,electric_chiller,electricity,reference,0.0
T0444,free_cooling,electricity,integrated,0.015658265922815495
T0444,free_cooling,electricity,reference,4.0
T0444,HR_DC,electricity,integrated,3.9843417340771845
T0444,HR_DC,electricity,reference,0.0
T0445,electric_chiller,electricity,integrated,0.0
T0445,electric_chiller,electricity,reference,0.0
T0445,free_cooling,electricity,integrated,0.015658265922815495
T0445,free_cooling,electricity,reference,4.0
T0445,HR_DC,electricity,integrated,3.9843417340771845
T0445,HR_DC,electricity,reference,0.0
T0446,electric_chiller,electricity,integrated,0.0
T0446,electric_chiller,electricity,reference,0.0
T0446,free_cooling,electricity,integrated,0.015658265922815495
T0446,free_cooling,electricity,reference,4.0
T0446,HR_DC,electricity,integrated,3.9843417340771845
T0446,HR_DC,electricity,reference,0.0
T0447,electric_chiller,electricity,integrated,0.0
T0447,electric_chiller,electricity,reference,0.0
T0447,free_cooling,electricity,integrated,0.015658265922815495
T0447,free_cooling,electricity,reference,4.0
T0447,HR_DC,electricity,integrated,3.9843417340771845
T0447,HR_DC,electricity,reference,0.0
T0448,electric_chiller,electricity,integrated,0.0
T0448,electric_chiller,electricity,reference,0.0
T0448,free_cooling,electricity,integrated,4.0
T0448,free_cooling,electricity,reference,4.0
T0448,HR_DC,electricity,integrated,0.0
T0448,HR_DC,electricity,reference,0.0
T0449,electric_chiller,electricity,integrated,0.0
T0449,electric_chiller,electricity,reference,0.0
T0449,free_cooling,electricity,integrated,0.015658265922815495
T0449,free_cooling,electricity,reference,4.0
T0449,HR_DC,electricity,integrated,3.9843417340771845
T0449,HR_DC,electricity,reference,0.0
T0450,electric_chiller,electricity,integrated,0.0
T0450,electric_chiller,electricity,reference,0.0
T0450,free_cooling,electricity,integrated,0.015658265922815495
T0450,free_cooling,electricity,reference,4.0
T0450,HR_DC,electricity,integrated,3.9843417340771845
T0450,HR_DC,electricity,reference,0.0
T0451,electric_chiller,electricity,integrated,0.0
T0451,electric_chiller,electricity,reference,0.0
T0451,free_cooling,electricity,integrated,0.015658265922815495
T0451,free_cooling,electricity,reference,4.0
T0451,HR_DC,electricity,integrated,3.9843417340771845
T0451,HR_DC,electricity,reference,0.0
T0452,electric_chiller,electricity,integrated,0.0
T0452,electric_chiller,electricity,reference,0.0
T0452,free_cooling,electricity,integrated,0.015658265922815495
T0452,free_cooling,electricity,reference,4.0
T0452,HR_DC,electricity,integrated,3.9843417340771845
T0452,HR_DC,electricity,reference,0.0
T0453,electric_chiller,electricity,integrated,0.0
T0453,electric_chiller,electricity,reference,0.0
T0453,free_cooling,electricity,integrated,0.015658265922815495
T0453,free_cooling,electricity,reference,4.0
T0453,HR_DC,electricity,integrated,3.9843417340771845
T0453,HR_DC,electricity,reference,0.0
T0454,electric_chiller,electricity,integrated,0.0
T0454,electric_chiller,electricity,reference,0.0
T0454,free_cooling,electricity,integrated,0.015658265922815495
T0454,free_cooling,electricity,reference,4.0
T0454,HR_DC,electricity,integrated,3.9843417340771845
T0454,HR_DC,electricity,reference,0.0
T0455,electric_chiller,electricity,integrated,0.0
T0455,electric_chiller,electricity,reference,0.0
T0455,free_cooling,electricity,integrated,0.015658265922815495
T0455,free_cooling,electricity,reference,4.0
T0455,HR_DC,electricity,integrated,3.9843417340771845
T0455,HR_DC,electricity,reference,0.0
T0456,electric_chiller,electricity,integrated,0.0
T0456,electric_chiller,electricity,reference,0.0
T0456,free_cooling,electricity,integrated,0.015658265922815495
T0456,free_cooling,electricity,reference,4.0
T0456,HR_DC,electricity,integrated,3.9843417340771845
T0456,HR_DC,electricity,reference,0.0
T0457,electric_chiller,electricity,integrated,0.0
T0457,electric_chiller,electricity,reference,0.0
T0457,free_cooling,electricity,integrated,0.015658265922815495
T0457,free_cooling,electricity,reference,4.0
T0457,HR_DC,electricity,integrated,3.9843417340771845
T0457,HR_DC,electricity,reference,0.0
T0458,electric_chiller,electricity,integrated,0.0
T0458,electric_chiller,electricity,reference,0.0
T0458,free_cooling,electricity,integrated,0.015658265922815495
T0458,free_cooling,electricity,reference,4.0
T0458,HR_DC,electricity,integrated,3.9843417340771845
T0458,HR_DC,electricity,reference,0.0
T0459,electric_chiller,electricity,integrated,0.0
T0459,electric_chiller,electricity,reference,0.0
T0459,free_cooling,electricity,integrated,0.015658265922815495
T0459,free_cooling,electricity,reference,4.0
T0459,HR_DC,electricity,integrated,3.9843417340771845
T0459,HR_DC,electricity,reference,0.0
T0460,electric_chiller,electricity,integrated,0.0
T0460,electric_chiller,electricity,reference,0.0
T0460,free_cooling,electricity,integrated,0.015658265922815495
T0460,free_cooling,electricity,reference,4.0
T0460,HR_DC,electricity,integrated,3.9843417340771845
T0460,HR_DC,electricity,reference,0.0
T0461,electric_chiller,electricity,integrated,0.0
T0461,electric_chiller,electricity,reference,0.0
T0461,free_cooling,electricity,integrated,0.015658265922815495
T0461,free_cooling,electricity,reference,4.0
T0461,HR_DC,electricity,integrated,3.9843417340771845
T0461,HR_DC,electricity,reference,0.0
T0462,electric_chiller,electricity,integrated,0.0
T0462,electric_chiller,electricity,reference,0.0
T0462,free_cooling,electricity,integrated,4.0
T0462,free_cooling,electricity,reference,4.0
T0462,HR_DC,electricity,integrated,0.0
T0462,HR_DC,electricity,reference,0.0
T0463,electric_chiller,electricity,integrated,0.0
T0463,electric_chiller,electricity,reference,0.0
