InstanceCode	DateTime(UTC)	ResolutionCode	AreaCode	AreaDisplayName	AreaTypeCode	MapCode	ContractType	Sequence	Price[Currency/MWh]	Currency	UpdateTime(UTC)
16f5b4bd40d5c632b78446205b5496af	2025-10-02 01:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	86.04	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 01:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	84.98	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 02:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	86.02	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 02:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	86.03	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 02:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	89.05	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 02:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	89.64	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 03:00:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	82.72	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 03:15:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	87.15	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 03:30:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	94.15	EUR	2025-10-01 11:12:10
16f5b4bd40d5c632b78446205b5496af	2025-10-02 03:45:00	PT15M	10YDK-1--------W	DK1	BZN	DK1	Day-ahead	 	109.4	EUR	2025-10-01 11:12:10
