timestep,HP - air,HP - seawater,HP - heat recovery,electric chiller
T5286,4.217,4.241,2.896,3.991
T5287,4.392,4.241,2.896,3.846
T5288,4.51,4.241,2.896,3.755
T5289,4.613,4.241,2.896,3.679
T5290,4.689,4.241,2.896,3.625
T5291,4.906,4.241,2.896,3.481
T5292,5.054,4.241,2.896,3.389
T5293,5.293,4.241,2.896,3.252
T5294,5.392,4.241,2.896,3.199
T5295,5.363,4.241,2.896,3.214
T5296,5.279,4.241,2.896,3.26
T5297,5.197,4.241,2.896,3.305
T5298,5.17,4.241,2.896,3.321
T5299,4.966,4.241,2.896,3.443
T5300,4.847,4.241,2.896,3.519
T5301,4.778,4.241,2.896,3.564
T5302,4.656,4.241,2.896,3.648
T5303,4.561,4.241,2.896,3.717
T5304,4.51,4.241,2.896,3.755
T5305,4.49,4.241,2.896,3.77
T5306,4.45,4.241,2.896,3.801
T5307,4.382,4.241,2.896,3.854
T5308,4.344,4.241,2.896,3.885
T5309,4.271,4.241,2.896,3.945
T5310,4.289,4.241,2.896,3.93
T5311,4.401,4.241,2.896,3.839
T5312,4.5,4.241,2.896,3.763
T5313,4.582,4.241,2.896,3.702
T5314,4.755,4.241,2.896,3.58
T5315,4.979,4.241,2.896,3.435
T5316,5.131,4.241,2.896,3.344
T5317,5.157,4.241,2.896,3.328
T5318,5.041,4.241,2.896,3.397
T5319,5.079,4.241,2.896,3.374
T5320,5.003,4.241,2.896,3.42
T5321,4.942,4.241,2.896,3.458
T5322,4.778,4.241,2.896,3.564
T5323,4.689,4.241,2.896,3.625
T5324,4.571,4.241,2.896,3.709
T5325,4.47,4.241,2.896,3.785
T5326,4.363,4.241,2.896,3.869
T5327,4.271,4.241,2.896,3.945
T5328,4.208,4.241,2.896,3.999
T5329,4.182,4.241,2.896,4.022
T5330,4.164,4.241,2.896,4.037
T5331,4.13,4.241,2.896,4.067
T5332,4.088,4.241,2.896,4.106
T5333,4.122,4.241,2.896,4.075
T5334,4.139,4.241,2.896,4.06
T5335,4.217,4.241,2.896,3.991
T5336,4.289,4.241,2.896,3.93
T5337,4.373,4.241,2.896,3.862
T5338,4.49,4.241,2.896,3.77
T5339,4.603,4.241,2.896,3.686
T5340,4.71,4.241,2.896,3.61
T5341,4.645,4.241,2.896,3.656
T5342,4.635,4.241,2.896,3.664
T5343,4.624,4.241,2.896,3.671
T5344,4.603,4.241,2.896,3.686
T5345,4.582,4.241,2.896,3.702
T5346,4.551,4.241,2.896,3.725
T5347,4.46,4.241,2.896,3.793
T5348,4.411,4.241,2.896,3.831
T5349,4.307,4.241,2.896,3.915
T5350,4.217,4.241,2.896,3.991
T5351,4.164,4.241,2.896,4.037
T5352,4.122,4.241,2.896,4.075
T5353,4.088,4.241,2.896,4.106
T5354,4.072,4.241,2.896,4.121
T5355,4.047,4.241,2.896,4.144
T5356,4.031,4.241,2.896,4.159
T5357,4.015,4.241,2.896,4.174
T5358,4.031,4.241,2.896,4.159
T5359,4.08,4.241,2.896,4.113
T5360,4.182,4.241,2.896,4.022
T5361,4.244,4.241,2.896,3.968
T5362,4.373,4.241,2.896,3.862
T5363,4.48,4.241,2.896,3.778
T5364,4.54,4.241,2.896,3.732
T5365,4.551,4.241,2.896,3.725
T5366,4.561,4.241,2.896,3.717
T5367,4.52,4.241,2.896,3.747
T5368,4.5,4.241,2.896,3.763
T5369,4.43,4.241,2.896,3.816
T5370,4.373,4.241,2.896,3.862
T5371,4.373,4.241,2.896,3.862
T5372,4.326,4.241,2.896,3.9
T5373,4.262,4.241,2.896,3.953
T5374,4.208,4.241,2.896,3.999
T5375,4.164,4.241,2.896,4.037
T5376,4.113,4.241,2.896,4.083
T5377,4.055,4.241,2.896,4.136
T5378,4.039,4.241,2.896,4.151
T5379,4.007,4.241,2.896,4.182
T5380,3.983,4.241,2.896,4.205
T5381,3.983,4.241,2.896,4.205
T5382,4.031,4.241,2.896,4.159
T5383,4.105,4.241,2.896,4.09
T5384,4.164,4.241,2.896,4.037
T5385,4.271,4.241,2.896,3.945
T5386,4.382,4.241,2.896,3.854
T5387,4.48,4.241,2.896,3.778
T5388,4.603,4.241,2.896,3.686
T5389,4.699,4.241,2.896,3.618
T5390,4.635,4.241,2.896,3.664
T5391,4.582,4.241,2.896,3.702
T5392,4.551,4.241,2.896,3.725
T5393,4.47,4.241,2.896,3.785
T5394,4.382,4.241,2.896,3.854
T5395,4.316,4.241,2.896,3.907
T5396,4.199,4.241,2.896,4.006
T5397,4.156,4.241,2.896,4.045
T5398,4.105,4.241,2.896,4.09
T5399,4.007,4.241,2.896,4.182
T5400,4.064,4.241,2.896,4.128
T5401,4.031,4.241,2.896,4.159
T5402,3.967,4.241,2.896,4.22
T5403,3.891,4.241,2.896,4.296
T5404,3.991,4.241,2.896,4.197
T5405,3.944,4.241,2.896,4.243
T5406,3.999,4.241,2.896,4.189
T5407,4.122,4.241,2.896,4.075
T5408,4.199,4.241,2.896,4.006
T5409,4.335,4.241,2.896,3.892
T5410,4.44,4.241,2.896,3.808
T5411,4.582,4.241,2.896,3.702
T5412,4.71,4.241,2.896,3.61
T5413,4.823,4.241,2.896,3.534
T5414,4.882,4.241,2.896,3.496
T5415,4.847,4.241,2.896,3.519
T5416,4.766,4.241,2.896,3.572
T5417,4.744,4.241,2.896,3.587
T5418,4.766,4.241,2.896,3.572
T5419,4.689,4.241,2.896,3.625
T5420,4.43,4.241,2.896,3.816
T5421,4.344,4.241,2.896,3.885
T5422,4.28,4.241,2.896,3.938
T5423,4.208,4.241,2.896,3.999
T5424,4.164,4.241,2.896,4.037
T5425,4.164,4.241,2.896,4.037
T5426,4.139,4.241,2.896,4.06
T5427,4.147,4.241,2.896,4.052
T5428,4.139,4.241,2.896,4.06
T5429,4.064,4.241,2.896,4.128
T5430,4.173,4.241,2.896,4.029
T5431,4.298,4.241,2.896,3.923
T5432,4.326,4.241,2.896,3.9
T5433,4.373,4.241,2.896,3.862
T5434,4.53,4.241,2.896,3.74
T5435,4.733,4.241,2.896,3.595
T5436,4.942,4.241,2.896,3.458
T5437,5.028,4.241,2.896,3.404
T5438,5.041,4.241,2.896,3.397
T5439,5.041,4.241,2.896,3.397
T5440,4.942,4.241,2.896,3.458
T5441,4.847,4.241,2.896,3.519
T5442,4.8,4.241,2.896,3.549
T5443,4.689,4.241,2.896,3.625
T5444,4.51,4.241,2.896,3.755
T5445,4.45,4.241,2.896,3.801
T5446,4.316,4.241,2.896,3.907
T5447,4.326,4.241,2.896,3.9
T5448,4.298,4.241,2.896,3.923
T5449,4.262,4.241,2.896,3.953
T5450,4.235,4.241,2.896,3.976
T5451,4.217,4.241,2.896,3.991
T5452,4.199,4.241,2.896,4.006
T5453,4.164,4.241,2.896,4.037
T5454,4.226,4.241,2.896,3.984
T5455,4.411,4.241,2.896,3.831
