SelectedTimestamp,Affaldsenergianlæg,Kraftvarmeanlæg,Spidslastbiomasse,Spidslastgas,Spidslastolie,Elkedler,Varmepumper,Industrieloverskudsvarme,Overskudsvarmedatacentre,Biogas,Solvarme,CO2-Udledning
1/28/2025-11:00:00,283.3538513185,1141.40297444667,26.1316809654167,7.34239068425,13.8434387046667,4.92279454066667,14.8622704346667,13.1013468106667,0.114188001,3.76171356441667,0,3.93358544508333
1/28/2025-12:00:00,296.770790100167,1166.4644063315,24.8832710583333,0.100000002,13.9237059751667,18.0145328441667,14.83254734675,11.6319057146667,0.114188001,3.77356137841667,0,3.72022827475
1/28/2025-13:00:00,315.919242858917,1249.31764729817,24.3940456708333,0.100000002,13.9163889088333,24.6766279539167,14.72834936775,10.239211917,0.114188001,3.76510143291667,0,3.66077264158333
1/28/2025-14:00:00,307.37588500975,1240.59740193683,24.747616132,0.100000002,18.72183402375,20.84270381925,13.750765562,5.639054974,0.114188001,3.77691803383333,0,3.97857711716667
1/28/2025-15:00:00,298.3294067385,1249.75466918942,25.6632394791667,0.100000002,9.92599829033333,8.01045346266667,14.0050905545,9.91402713466667,0.114188001,3.75942579908333,0,3.10882826641667
1/28/2025-16:00:00,287.693819682,1263.15663655608,26.04909690225,0.100000002,9.96070806183333,0,13.2863448460833,13.0673120816667,0.114188001,3.76197918266667,0,2.98148165158333
1/28/2025-17:00:00,287.579732259167,1254.88794962567,26.2393943468333,0.100000002,9.924086809,0,13.76859354975,11.1726568540833,0.114188001,3.73508751391667,0,2.97319149975
1/28/2025-18:00:00,290.364964803083,1260.80053710933,26.0598885218333,0.100000002,9.91436274858333,0,10.204093337,9.51854840925,0.114188001,3.77987718566667,0,2.97177173691667
1/28/2025-19:00:00,300.4677912395,1260.1040039065,26.4075654345833,0.100000002,9.48644018166667,0,7.62986457341667,9.07968250908333,0.114188001,3.78036270533333,0,2.97767519958333
1/28/2025-20:00:00,296.434028625583,1276.70420328767,26.2934325536667,0.100000002,6.93777036675,0,7.76165997991667,8.64864726866667,0.114188001,3.7475162745,0,2.72235655775
1/28/2025-21:00:00,295.114326477083,1281.13703409842,26.1628635725833,0.100000002,6.91517535858333,0,11.0941632588333,8.15049366141667,0.114188001,3.76263950258333,0,2.71189228683333
1/28/2025-22:00:00,290.455574035583,1329.97583007817,25.9899916649167,0.100000002,6.90925379575,15.3325908083333,12.5795768895833,12.4248692195,0.114188001,3.74982486166667,0,2.81360960016667
1/28/2025-23:00:00,290.502960205167,1290.189107259,25.46692943575,0.100000002,6.91860365875,37.33153597525,11.3348375955833,14.807615916,0.114188001,3.76165445641667,0,3.10061653441667
1/29/2025-00:00:00,295.806872050167,1284.44039917008,24.8062300683333,0.100000002,6.89870071408333,58.9673802058333,10.2731501260833,14.6306479770833,0.114188001,3.76229963708333,0,3.32430378583333
1/29/2025-01:00:00,291.477933248,1243.45962524425,24.8074712753333,0.100000002,6.9119858345,42.3355229696667,9.30569736158333,15.7189521789167,0.114188001,3.74295868466667,0,3.23626434791667
1/29/2025-02:00:00,285.67280832925,1279.2093404135,24.2278604506667,0.100000002,6.93485112983333,24.7407793999167,6.87760055083333,15.3924359481667,0.114188001,3.74851602325,0,2.9896476865
1/29/2025-03:00:00,284.6393407185,1296.23247273767,24.54615847275,0.100000002,6.91766325641667,0.636940709083333,6.38046236833333,13.68524177875,0.114188001,3.71722499533333,0,2.710667928
1/29/2025-04:00:00,297.213867187417,1302.54473876967,23.9901275635,0.100000002,6.92142959433333,0,6.45832439241667,14.1631927490833,0.114188001,3.71720979625,0,2.7522850235
1/29/2025-05:00:00,293.56373341875,1292.05575561517,24.0223366419167,0.100000002,6.92873903108333,0,6.313181321,13.83587932575,0.114188001,3.70904405908333,0,2.74985128633333
1/29/2025-06:00:00,292.975817362667,1323.16717529283,25.18524281175,0.100000002,6.92970192416667,0,6.10194353275,13.3301719029167,0.114188001,3.69393479816667,0,2.69639054941667
1/29/2025-07:00:00,288.697967529417,1353.81624348967,25.95768642425,5.75283668891667,8.9560053745,0,6.31890225416667,11.7641603151667,0.114188001,3.72064979883333,0,3.03866020841667
1/29/2025-08:00:00,285.500467936083,1360.14612833667,26.0114297865833,13.557735602,12.2779111860833,0,6.78769731516667,11.1198543709167,0.114188001,3.70616644616667,0,3.58418927591667
1/29/2025-09:00:00,302.041175842167,1327.588297526,25.6962203979167,14.76863423975,13.0008063316667,0,7.04006596408333,10.862692674,0.114188001,3.71606858583333,0,3.79300836708333
1/29/2025-10:00:00,306.238942464167,1325.66676839192,22.86053339625,19.7383855184167,13.2713832855,0,6.94173963866667,10.533861955,0.114188001,3.70619297025,0,4.01660861575
1/29/2025-11:00:00,305.730608622333,1328.20108032233,20.1237684885833,16.19359437625,12.9007546106667,0,8.30344013366667,10.4162644544167,0.114188001,3.77236117916667,0,3.84407369291667
1/29/2025-12:00:00,303.78206888825,1323.04218546558,16.7171149255833,14.8884456950833,17.0586430231667,0,8.17245157541667,10.3565657138333,0.114188001,3.74218493716667,0,4.11906685433333
