timestep,HOB_EL,HP_AMBIENT,HP_PROCESS,ELECTRIC_CHILLER,FREE_COOLING,HP_RECOVERY
T0353,22.7,28.93,28.93,28.93,28.93,28.93
T0354,22.7,28.93,28.93,28.93,28.93,28.93
T0355,22.7,28.93,28.93,28.93,28.93,28.93
T0356,22.7,28.93,28.93,28.93,28.93,28.93
T0357,22.7,28.93,28.93,28.93,28.93,28.93
T0358,20.39,23.5,23.5,23.5,23.5,23.5
T0359,20.39,23.5,23.5,23.5,23.5,23.5
T0360,20.39,23.5,23.5,23.5,23.5,23.5
T0361,19.24,19.9,19.9,19.9,19.9,19.9
T0362,19.24,19.9,19.9,19.9,19.9,19.9
T0363,19.24,19.9,19.9,19.9,19.9,19.9
T0364,19.24,19.9,19.9,19.9,19.9,19.9
T0365,19.24,19.9,19.9,19.9,19.9,19.9
T0366,19.24,19.9,19.9,19.9,19.9,19.9
T0367,22.7,28.93,28.93,28.93,28.93,28.93
T0368,22.7,28.93,28.93,28.93,28.93,28.93
T0369,22.7,28.93,28.93,28.93,28.93,28.93
T0370,22.7,28.93,28.93,28.93,28.93,28.93
T0371,22.7,28.93,28.93,28.93,28.93,28.93
T0372,22.7,28.93,28.93,28.93,28.93,28.93
T0373,22.7,28.93,28.93,28.93,28.93,28.93
T0374,22.7,28.93,28.93,28.93,28.93,28.93
T0375,22.7,28.93,28.93,28.93,28.93,28.93
T0376,22.7,28.93,28.93,28.93,28.93,28.93
T0377,22.7,28.93,28.93,28.93,28.93,28.93
T0378,22.7,28.93,28.93,28.93,28.93,28.93
T0379,22.7,28.93,28.93,28.93,28.93,28.93
T0380,22.7,28.93,28.93,28.93,28.93,28.93
T0381,22.7,28.93,28.93,28.93,28.93,28.93
T0382,20.39,23.5,23.5,23.5,23.5,23.5
T0383,20.39,23.5,23.5,23.5,23.5,23.5
T0384,20.39,23.5,23.5,23.5,23.5,23.5
T0385,19.24,19.9,19.9,19.9,19.9,19.9
T0386,19.24,19.9,19.9,19.9,19.9,19.9
T0387,19.24,19.9,19.9,19.9,19.9,19.9
T0388,19.24,19.9,19.9,19.9,19.9,19.9
T0389,19.24,19.9,19.9,19.9,19.9,19.9
T0390,19.24,19.9,19.9,19.9,19.9,19.9
T0391,22.7,28.93,28.93,28.93,28.93,28.93
T0392,22.7,28.93,28.93,28.93,28.93,28.93
T0393,22.7,28.93,28.93,28.93,28.93,28.93
T0394,22.7,28.93,28.93,28.93,28.93,28.93
T0395,22.7,28.93,28.93,28.93,28.93,28.93
T0396,22.7,28.93,28.93,28.93,28.93,28.93
T0397,22.7,28.93,28.93,28.93,28.93,28.93
T0398,22.7,28.93,28.93,28.93,28.93,28.93
T0399,22.7,28.93,28.93,28.93,28.93,28.93
T0400,22.7,28.93,28.93,28.93,28.93,28.93
T0401,22.7,28.93,28.93,28.93,28.93,28.93
T0402,22.7,28.93,28.93,28.93,28.93,28.93
T0403,22.7,28.93,28.93,28.93,28.93,28.93
T0404,22.7,28.93,28.93,28.93,28.93,28.93
T0405,22.7,28.93,28.93,28.93,28.93,28.93
T0406,20.39,23.5,23.5,23.5,23.5,23.5
T0407,20.39,23.5,23.5,23.5,23.5,23.5
T0408,20.39,23.5,23.5,23.5,23.5,23.5
T0409,19.24,19.9,19.9,19.9,19.9,19.9
T0410,19.24,19.9,19.9,19.9,19.9,19.9
T0411,19.24,19.9,19.9,19.9,19.9,19.9
T0412,19.24,19.9,19.9,19.9,19.9,19.9
T0413,19.24,19.9,19.9,19.9,19.9,19.9
T0414,19.24,19.9,19.9,19.9,19.9,19.9
T0415,22.7,28.93,28.93,28.93,28.93,28.93
T0416,22.7,28.93,28.93,28.93,28.93,28.93
