,AMV1,AMV4,AVV1,AVV2,HCV7,HCV8,SMV1_SMV7,KKV8,ARC,ARGO5,ARGO6,VF5,VF6,HOB_electric,HOB_biogas,HOB_fueloil,HOB_gasoil,HOB_natgas,HOB_pellets,HP_air
T0063,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,51.21343746,68.35,58.795,74.291,79.969,41.44,51.213
T0064,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,52.1061116,68.35,58.795,74.291,79.969,41.44,52.106
T0065,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,54.11600875,68.35,58.795,74.291,79.969,41.44,54.116
T0066,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,54.53631475,68.35,58.795,74.291,79.969,41.44,54.536
T0067,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,44.41625063,68.35,58.795,74.291,79.969,41.44,44.416
T0068,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.15210606,68.35,58.795,74.291,79.969,41.44,39.152
T0069,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,36.59155611,68.35,58.795,74.291,79.969,41.44,36.592
T0070,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,34.2828479,68.35,58.795,74.291,79.969,41.44,34.283
T0071,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,30.59504107,68.35,58.795,74.291,79.969,41.44,30.595
T0072,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,30.69281269,68.35,58.795,74.291,79.969,41.44,30.693
T0073,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,24.76279309,68.35,58.795,74.291,79.969,41.44,24.763
T0074,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,25.21670797,68.35,58.795,74.291,79.969,41.44,25.217
T0075,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,15.2671701,68.35,58.795,74.291,79.969,41.44,15.267
T0076,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,12.80262221,68.35,58.795,74.291,79.969,41.44,12.803
T0077,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,9.271194548,68.35,58.795,74.291,79.969,41.44,9.271
T0078,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,9.085540676,68.35,58.795,74.291,79.969,41.44,9.086
T0079,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,27.41575666,68.35,58.795,74.291,79.969,41.44,27.416
T0080,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,25.47133918,68.35,58.795,74.291,79.969,41.44,25.471
T0081,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,31.71543134,68.35,58.795,74.291,79.969,41.44,31.715
T0082,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,16.88461741,68.35,58.795,74.291,79.969,41.44,16.885
T0083,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,25.60520745,68.35,58.795,74.291,79.969,41.44,25.605
T0084,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,26.8339801,68.35,58.795,74.291,79.969,41.44,26.834
T0085,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,21.1452107,68.35,58.795,74.291,79.969,41.44,21.145
T0086,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,24.81314872,68.35,58.795,74.291,79.969,41.44,24.813
T0087,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,28.21712137,68.35,58.795,74.291,79.969,41.44,28.217
T0088,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,33.16523045,68.35,58.795,74.291,79.969,41.44,33.165
T0089,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,36.84110909,68.35,58.795,74.291,79.969,41.44,36.841
T0090,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,40.45963065,68.35,58.795,74.291,79.969,41.44,40.46
T0091,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,43.83062659,68.35,58.795,74.291,79.969,41.44,43.831
T0092,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,39.49673916,68.35,58.795,74.291,79.969,41.44,39.497
T0093,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,44.5905391,68.35,58.795,74.291,79.969,41.44,44.591
T0094,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,41.1888171,68.35,58.795,74.291,79.969,41.44,41.189
T0095,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,49.27745845,68.35,58.795,74.291,79.969,41.44,49.277
T0096,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,43.48950566,68.35,58.795,74.291,79.969,41.44,43.49
T0097,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,44.00644128,68.35,58.795,74.291,79.969,41.44,44.006
T0098,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,44.1080175,68.35,58.795,74.291,79.969,41.44,44.108
T0099,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,45.59383651,68.35,58.795,74.291,79.969,41.44,45.594
T0100,41.44,26.04,41.44,41.44,79.969,79.969,79.969,26.04,-7.73,-7.73,-7.73,-7.73,-7.73,45.94023053,68.35,58.795,74.291,79.969,41.44,45.94
