,AMV3,AVV1,AVV2,AMV1,AMV4,ARC,ARGO5,ARGO6,HCV7,HCV8,KKV7,KKV8,VF5,VF6,HOB_BG,HOB_EL,HOB_FO,HOB_GO,HOB_NG,HOB_WP,HOB_WW,EH,HP
T6453,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,5.99,29.60,47.22,22.32,34.92,12.07,0.00,5.99
T6454,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,6.16,29.60,47.22,22.32,34.92,12.07,0.00,6.16
T6455,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,6.28,29.60,47.22,22.32,34.92,12.07,0.00,6.28
T6456,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,5.80,29.60,47.22,22.32,34.92,12.07,0.00,5.80
T6457,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,5.71,29.60,47.22,22.32,34.92,12.07,0.00,5.71
T6458,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,6.05,29.60,47.22,22.32,34.92,12.07,0.00,6.05
T6459,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,6.62,29.60,47.22,22.32,34.92,12.07,0.00,6.62
T6460,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,6.60,29.60,47.22,22.32,34.92,12.07,0.00,6.60
T6461,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,6.18,29.60,47.22,22.32,34.92,12.07,0.00,6.18
T6462,8.80,34.92,34.92,34.92,25.86,-19.70,-19.70,-19.70,22.32,22.32,25.86,25.86,-19.70,-19.70,80.40,5.88,29.60,47.22,22.32,34.92,12.07,0.00,5.88
