T,G_HR,value
T0667,HR_DC,70.74364752068
T0668,HR_DC,70.74364752068
T0669,HR_DC,70.74364752068
T0670,HR_DC,70.74364752068
T0671,HR_DC,70.74364752068
T0672,HR_DC,70.74364752068
T0673,HR_DC,70.74364752068
T0674,HR_DC,70.74364752068
T0675,HR_DC,70.74364752068
T0676,HR_DC,70.74364752068
T0677,HR_DC,70.74364752068
T0678,HR_DC,70.74364752068
T0679,HR_DC,70.74364752068
T0680,HR_DC,70.74364752068
T0681,HR_DC,70.74364752068
T0682,HR_DC,70.74364752068
T0683,HR_DC,70.74364752068
T0684,HR_DC,70.74364752068
T0685,HR_DC,70.74364752068
T0686,HR_DC,70.74364752068
T0687,HR_DC,70.74364752068
T0688,HR_DC,70.74364752068
T0689,HR_DC,70.74364752068
T0690,HR_DC,70.74364752068
T0691,HR_DC,70.74364752068
T0692,HR_DC,70.74364752068
T0693,HR_DC,70.74364752068
T0694,HR_DC,70.74364752068
T0695,HR_DC,70.74364752068
T0696,HR_DC,70.74364752068
T0697,HR_DC,70.74364752068
T0698,HR_DC,70.74364752068
T0699,HR_DC,70.74364752068
T0700,HR_DC,70.74364752068
T0701,HR_DC,70.74364752068
T0702,HR_DC,70.74364752068
T0703,HR_DC,70.74364752068
T0704,HR_DC,70.74364752068
T0705,HR_DC,70.74364752068
T0706,HR_DC,70.74364752068
T0707,HR_DC,70.74364752068
T0708,HR_DC,70.74364752068
T0709,HR_DC,70.74364752068
T0710,HR_DC,70.74364752068
T0711,HR_DC,70.74364752068
T0712,HR_DC,70.74364752068
T0713,HR_DC,70.74364752068
T0714,HR_DC,70.74364752068
T0715,HR_DC,70.74364752068
T0716,HR_DC,70.74364752068
T0717,HR_DC,70.74364752068
T0718,HR_DC,70.74364752068
T0719,HR_DC,70.74364752068
T0720,HR_DC,70.74364752068
T0721,HR_DC,70.74364752068
T0722,HR_DC,70.74364752068
T0723,HR_DC,70.74364752068
T0724,HR_DC,70.74364752068
T0725,HR_DC,70.74364752068
T0726,HR_DC,70.74364752068
T0727,HR_DC,70.74364752068
T0728,HR_DC,70.74364752068
T0729,HR_DC,70.74364752068
T0730,HR_DC,70.74364752068
T0731,HR_DC,71.51020950517561
T0732,HR_DC,71.51020950517561
T0733,HR_DC,71.51020950517561
T0734,HR_DC,71.51020950517561
T0735,HR_DC,71.51020950517561
T0736,HR_DC,71.51020950517561
T0737,HR_DC,71.51020950517561
T0738,HR_DC,71.51020950517561
T0739,HR_DC,71.51020950517561
T0740,HR_DC,71.51020950517561
T0741,HR_DC,71.51020950517561
T0742,HR_DC,71.51020950517561
T0743,HR_DC,71.51020950517561
T0744,HR_DC,71.51020950517561
T0745,HR_DC,71.51020950517561
T0746,HR_DC,71.51020950517561
T0747,HR_DC,71.51020950517561
T0748,HR_DC,71.51020950517561
T0749,HR_DC,71.51020950517561
T0750,HR_DC,71.51020950517561
T0751,HR_DC,71.51020950517561
T0752,HR_DC,71.51020950517561
T0753,HR_DC,71.51020950517561
T0754,HR_DC,71.51020950517561
T0755,HR_DC,71.51020950517561
T0756,HR_DC,71.51020950517561
T0757,HR_DC,71.51020950517561
T0758,HR_DC,71.51020950517561
T0759,HR_DC,71.51020950517561
T0760,HR_DC,71.51020950517561
T0761,HR_DC,71.51020950517561
T0762,HR_DC,71.51020950517561
T0763,HR_DC,71.51020950517561
T0764,HR_DC,71.51020950517561
T0765,HR_DC,71.51020950517561
T0766,HR_DC,71.51020950517561
T0767,HR_DC,71.51020950517561
T0768,HR_DC,71.51020950517561
T0769,HR_DC,71.51020950517561
T0770,HR_DC,71.51020950517561
T0771,HR_DC,71.51020950517561
T0772,HR_DC,71.51020950517561
T0773,HR_DC,71.51020950517561
T0774,HR_DC,71.51020950517561
T0775,HR_DC,71.51020950517561
T0776,HR_DC,71.51020950517561
T0777,HR_DC,71.51020950517561
T0778,HR_DC,71.51020950517561
T0779,HR_DC,71.51020950517561
T0780,HR_DC,71.51020950517561
T0781,HR_DC,71.51020950517561
T0782,HR_DC,71.51020950517561
T0783,HR_DC,71.51020950517561
T0784,HR_DC,71.51020950517561
T0785,HR_DC,71.51020950517561
T0786,HR_DC,71.51020950517561
T0787,HR_DC,71.51020950517561
T0788,HR_DC,71.51020950517561
T0789,HR_DC,71.51020950517561
T0790,HR_DC,71.51020950517561
T0791,HR_DC,71.51020950517561
T0792,HR_DC,71.51020950517561
T0793,HR_DC,71.51020950517561
T0794,HR_DC,71.51020950517561
T0795,HR_DC,71.51020950517561
T0796,HR_DC,71.51020950517561
T0797,HR_DC,71.51020950517561
T0798,HR_DC,71.51020950517561
T0799,HR_DC,71.51020950517561
T0800,HR_DC,71.51020950517561
T0801,HR_DC,71.51020950517561
T0802,HR_DC,71.51020950517561
T0803,HR_DC,71.51020950517561
T0804,HR_DC,71.51020950517561
T0805,HR_DC,71.51020950517561
T0806,HR_DC,71.51020950517561
T0807,HR_DC,71.51020950517561
T0808,HR_DC,71.51020950517561
T0809,HR_DC,71.51020950517561
T0810,HR_DC,71.51020950517561
T0811,HR_DC,71.51020950517561
T0812,HR_DC,71.51020950517561
T0813,HR_DC,71.51020950517561
T0814,HR_DC,71.51020950517561
T0815,HR_DC,71.51020950517561
T0816,HR_DC,71.51020950517561
